Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
Bring Sight Foundation,,425 Accacia St,,Daly City,CA,94014-1512,United States,650-315-5468,,,,,1500,1500,2,0
Chou & Yeh Global Foundation,,10312 E Estates Dr,,Cupertino,CA,95014-3375,United States,408-316-6323,,,,592108,8920,1500,2,0
Davis Seely Foundation,,PO Box 8980,,Rancho Santa Fe,CA,92067-8980,United States,858-756-8430,,,,1159058,44300,1500,2,0
Debard Johnson Foundation Inc,,300 Hot Springs Rd # 511,,Santa Barbara,CA,93108-2037,United States,2087268583,,,,877428,45082,1500,2,0
Double Blessings-Plus Ministry,,35029 Lido Blvd,,Newark,CA,94560-1115,United States,650-804-0168,,,,59530,18700,1500,2,0
Hope Family Christian Foundation,,22301 Blueberry Ln,,Lake Forest,CA,92630-4302,United States,949-756-5000,,,,469875,16635,1500,2,0
Joseph H Kanter Foundation,,801 Parkcenter Dr Ste 202,,Santa Ana,CA,92705-3599,United States,310-291-1660,,,,66361,,1500,2,0
Klaus Barth Foundation,,2525 Cherry Ave,,Signal Hill,CA,90755-2051,United States,562-424-2411,,,,36406,500,1500,2,0
Sandy Carter Charitable Foundation,,720 College Ave,,Menlo Park,CA,94025-5204,United States,650-213-6285,,,http://sandycarterfoundation.org,218888,25000,1500,2,0
The Stephen L Gans Foundation,,9663 Santa Monica Blvd # 850,,Beverly Hills,CA,90210-4303,United States,310-271-6048,,,,12965,11000,1500,2,0
Sweet Water Foundation,,3455 Hillcrest St,,Redding,CA,96001-3421,United States,949-249-5351,,,,217691,8600,1500,2,0
Yulei & Zongchao Family Foundation,,1106 W Knickerbocker Dr,,Sunnyvale,CA,94087-1715,United States,408-620-0706,,,,77864,2000,1500,2,0
Alsajdah Foundation,,1447 Lomita Blvd Unit 4,,Harbor City,CA,90710-5419,United States,3108002273,,,http://ALSAJDAH.ORG,959837,38000,1500,1,0
Barbara Jean Zacky Foundation C/o Nksfb LLC,,10960 Wilshire Blvd Fl 5,,Los Angeles,CA,90024-3708,United States,310-871-4940,,,,,,1500,1,0
The Charles E and Dorothy K Brown Foundation,,4326 Babcock Ave Unit 301,,Studio City,CA,91604-1586,United States,818-693-6377,,,,266840,23500,1500,1,0
Hollander Family Foundation,,149 S Barrington Ave # 769,,Los Angeles,CA,90049-3310,United States,9739211250,,,,10457085,325000,1500,1,0
Instruments of Love Inc,,16277 Maya Way,,Los Gatos,CA,95030-7553,United States,408-354-5570,,,,1750,,1500,1,0
The Jamshid Foundation,,PO Box 280148,,San Francisco,CA,94128-0148,United States,650-342-1212,,,,,24500,1500,1,0
Lmtw Harmony Foundation of San Diego,,6401 El Cajon Blvd # 15481,,San Diego,CA,92115-2646,United States,,,,,292633,61500,1500,1,0
Never Give Up Foundation,,655 Brea Canyon Rd,,Walnut,CA,91789-3078,United States,909-594-0941,,,,3036,,1500,1,0
Orange Park Acres Women's League,,PO Box 2696,,Orange,CA,92859-0696,United States,714-904-6545,,,http://opawomen.org,14523,2000,1500,1,0
Outcomes Research Institute,,1092 Cathcart Way,,Stanford,CA,94305-1047,United States,650-208-1500,,,,242955,186000,1500,1,0
Peninsula Peaks Foundation,,1721 Havenhurst Dr,,Los Altos,CA,94024-5822,United States,650-967-7123,,,,1313732,5935,1500,1,0
Peter P Blasko Foundation,,121 Lake St,,San Francisco,CA,94118-1424,United States,415-480-0321,,,,2271,15750,1500,1,0
Samuel Urcis and Marion Zola Foundation,,1160 Marilyn Dr,,Beverly Hills,CA,90210-2228,United States,310-435-0990,,,,840750,38091,1500,1,0
Thanksgiving Feast for Sacramento C,,400 Woodhaven Pl,,West Sacramento,CA,95605-2573,United States,916-372-3205,,,,14416,,1500,1,0
Jyeh MD Foundation Inc,,600 Grove Pl,,Glendale,CA,91206-2515,United States,949-231-9190,,,,,4610,1510,2,0
M&m Chen Family Foundation,,1220 Vienna Dr Spc 696,,Sunnyvale,CA,94089-2018,United States,408-489-2097,,,,167389,,1510,1,0
The Ella May Crane Foundation,,PO Box 4017,,Malibu,CA,90264-4017,United States,310-457-7571,,,http://WWW.GUIDESTAR.ORG,,721522,1522,1,0
Qing Yu Foundation,,5645 Tan Oak Dr,,Fremont,CA,94555-3372,United States,5102662702,,,,294316,3000,1530,4,0
Carter Family Foundation,,3119 Via Dolce Apt 107,,Marina Del Rey,CA,90292-5072,United States,424-202-2262,,,,,33297,1540,1,0
Habram Foundation,,2188 Rambling Rose Dr,,Camarillo,CA,93012-2530,United States,805-987-6936,,,,113229,7085,1542,1,0
The James and Ann Swinehart Foundation,,301 Chestnut St,,San Francisco,CA,94133-2422,United States,415-362-5990,,,,7004077,390728,1550,4,0
Respond USA Inc,,423 Jenks Cir Ste 213,,Corona,CA,92878-5041,United States,951-278-3700,,,,38175,18798,1554,1,0
The Muller Foundation,,24 Hallmark Cir,,Menlo Park,CA,94025-6683,United States,650-369-2422,,,,,20261,1570,12,0
La Palma Community Foundation,,PO Box 1260,,Cypress,CA,90630-6260,United States,5627438791,,,HTTPS://WWW.LAPALMACARES.ORG/,56521,1800,1575,3,0
Il Sung and Ock Ja Won Family Foundation,,227 S Muirfield Rd,,Los Angeles,CA,90004-3730,United States,310-454-0461,,,,6185,500,1580,2,0
Blair Foundation,,Co Tl 10866 Wilshire Blvd 900,,LOS ANGELES,CA,90024,United States,310-475-9520,,,http://RYANBLAIR.COM,3437,100000,1599,1,0
Robert J and Mertis H Nolt Foundation,,286 Pinyon Hills Dr,,Chico,CA,95928-3961,United States,530-892-8024,,,,236531,6300,1600,3,0
The Praxis Group,,2131 Tacoma Ave,,Martinez,CA,94553-2731,United States,9253728486,,mark@praxisinaction.org,http://www.PraxisInAction.org,12122,,1600,1,0
Stryder Foundation,,38800 Kelley Ln,,Rancho Mirage,CA,92270-2945,United States,760-777-9805,,,,770432,14343,1600,1,0
Vietnam Reform Foundation,,4120 30th St Ste 202,,San Diego,CA,92104-1953,United States,540-221-5632,,,http://vietnamreformfoundation.org,143887,,1600,1,0
AIDS Services Foundation Orange County,"Philip Yaeger, Ceo; Susan Caumiant, Chief Development Officer",17982 Sky Park Cir Ste J,,Irvine,CA,92614-6482,United States,949-809-5700,949-809-5779,pyaeger@radianthealthcenters.org,http://WWW.RADIANTHEALTHCENTERS.ORG,3309103,1412710,71216,6,0
Harris-Bacor Family Foundation,"Portia Harris, President & Co-Director",115 W California Blvd # 405,,Pasadena,CA,91105-3005,United States,619-231-1977,,portia@hbf.foundation,https://www.hbf.foundation/,1829154,80778,71175,7,0
California Releaf,"Cindy Blain, Executive Director",2115 J St Ste 213,,Sacramento,CA,95816-4734,United States,916-497-0034,(916) 497-0038,info@californiareleaf.org,http://WWW.CALIFORNIARELEAF.ORG,522148,778035,71161,3,0
National Academy of Recording Arts & Sciences Inc,,3030 Olympic Blvd,,Santa Monica,CA,90404-5073,United States,310-392-3777,(310) 399-3090,,http://WWW.GRAMMY.COM,121343871,6734242,71150,6,0
GYMJAM FOUNDATION,"Cynthia Waller, Secretary, Treasurer, Meet Director",26515 Ruether Ave,,Santa Clarita,CA,91350-2622,United States,661-251-3390,661-251-9968,gymjamcindy@yahoo.com,http://heartofachampioninvitational.com/,27865,75446,71136,3,0
The Sweetland of Freedom Foundation,,PO Box 400,,Sierra Madre,CA,91025-0400,United States,805-377-1703,,,,1287339,57500,71100,12,0
Cypress Performing Arts Association,,65 Santa Rita Ave,,San Francisco,CA,94116-1465,United States,415-500-2150,,,http://WWW.CYPRESSQUARTET.COM,,96042,71042,1,0
The David Chueh Su Hsiung Memorial Foundation,,20121 Avenida Pamplona,,Cerritos,CA,90703-7643,United States,5628653356,,,,668669,26500,71000,17,0
The Yuen Family Foundation,,512 N Crescent Dr,,Beverly Hills,CA,90210-3302,United States,858-922-8893,,,,263574,36000,71000,8,0
Michael T and Stasia a O'neill Family Charitable Trust,,33812 Avenida Pescador,,San Juan Capistrano,CA,92675-4963,United States,925-820-6126,,,,854117,153891,70769,7,0
Bw Foundation Inc,Courtney Berolzheimer,2385 Arch Airport Rd Ste 500,,Stockton,CA,95206-4405,United States,209-932-5050,,hello@blackwingfoundation.org,https://www.blackwingfoundation.org/,803116,44655,70717,8,0
Evan and Tracy Segal Familyfoundation,,4 Malvino Ct,,Belvedere Tiburon,CA,94920-1423,United States,412-973-5583,,,https://www.thesegalfamilyfoundation.com/,2004165,416405,70660,16,0
The Katie and Oren Aviv Foundation,,23622 Calabasas Rd Ste 107,,Calabasas,CA,91302-1584,United States,818-789-3644,,,,147108,2500,70648,8,0
Craig Fund Inc Co Craig Communications Inc,,1388 Club View Ct,,El Cerrito,CA,94530-2502,United States,510-334-4866,,,,,14483,70590,19,0
Carpenters Local 586 Scholarship Fund,,4421 Pell Dr Ste A,,Sacramento,CA,95838-2571,United States,916-614-7901,,,,,35375,70500,20,0
Meglbagl Foundation C/o Frank Rimerman & Co LLP,,1 Embarcadero Ctr Ste 2410,,San Francisco,CA,94111-3737,United States,415-439-1144,,,,2934573,115000,70500,15,0
California State University Fullerton Alumni Assoc,,800 N State College Blvd,,Fullerton,CA,92831-3547,United States,6572782586,,,http://www.fullerton.edu/alumni/,1500031,15362,70490,5,0
Peter T Simonian Md and Patricia L Simonian Family Foundation,,729 N Medical Center Dr W Ste 101,,Clovis,CA,93611-6880,United States,559-439-7633,,,,1749944,141000,70450,13,0
The Aram and Margie Keith Family Foundation,,420 Monarch Bay Dr,,Dana Point,CA,92629-3405,United States,949-679-9312,,,,6003449,340000,70400,9,0
Cox Family Kind Foundation,,31301 Trigo Trl,,Coto De Caza,CA,92679-3610,United States,,,,,1552095,85040,70397,10,0
The Copen Family Foundation Inc,,Co P Copen 6324 Meadowridge Drive,,SANTA ROSA,CA,95409,United States,858-551-8147,,,,4641262,211464,70390,22,0
Stockton Rotary Endowment,,PO Box 7457,,Stockton,CA,95267-0457,United States,209-476-4994,,info@stocktonrotary.org,,4718483,122480,70290,9,0
Star Rock Ministries,,PO Box 996,,San Clemente,CA,92674-0996,United States,949-535-1039,,,http://StarRockMinistries.org,1320153,609145,70179,2,0
ONEHOPE FOUNDATION,Kristen Shroyer,227 California St,,El Segundo,CA,90245-4310,United States,866-983-2266,,kristen@onehopefoundation.org,http://www.onehopefoundation.org,,751388,70115,6,0
Edward B Evans and Ruth Todd Evans Family Foundation,,PO Box 2531,,Rancho Santa Fe,CA,92067-2531,United States,858-756-4944,,,,,3655,70095,45,0
California Furniture Mfg Assoc,"Burt Grimes, Past President",PO Box 10,,Manhattan Beach,CA,90267-0010,United States,714-550-9955,,,http://www.cfma.com,,97338,70084,1,0
Eastman-Pinto Foundation Inc,,7825 Fay Ave Ste 220,,La Jolla,CA,92037-4270,United States,858-456-3565,,,,501906,11800,70005,6,0
Rajiv & Caroline Shah Charitable Foundation Inc,,28003 Lobrook Dr,,Rancho Palos Verdes,CA,90275-3131,United States,310-541-4164,,,,287220,13001,70000,37,0
Debra Carroll and Donald Duford Family Foundation,,1436 Muirlands Dr,,La Jolla,CA,92037-6827,United States,860-674-1236,,,,1645242,85000,70000,9,0
Schnitzer-Novack Foundation,,220 Jackson St Fl 2,,San Francisco,CA,94111-1831,United States,415-362-5990,,,,10950533,926040,70000,6,0
The Edible Schoolyard Project DBA the Alice Waters Institute,,1517 Shattuck Ave,,Berkeley,CA,94709-1516,United States,510-843-3811,(510) 843-3880,info@chezpanissefoundation.org,http://www.edibleschoolyard.org,3455257,54068,70000,5,0
Enide Allison Charitable Foundation,,962 S Glen Robin St,,Orange,CA,92869-2034,United States,,,,,1633510,3080,70000,5,0
James S Wong Private Foundation,,1159 Fremont St,,San Jose,CA,95126-2109,United States,408-889-9311,,,http://www.jswprivatefoundation.org,1014551,24000,70000,4,0
Michael Asher Foundation,,453 S Spring St Ste 901,,Los Angeles,CA,90013-2087,United States,310-207-2600,,,http://michaelasherfoundation.org/,9665954,,70000,4,0
Thrill Hill Foundation,,1880 Century Park E Ste 1600,,Los Angeles,CA,90067-1661,United States,310-553-1707,,,,2968528,549500,70000,4,0
The Frederic Shu Kong Hsieh Fndtn,,PO Box 5443,,Huntington Beach,CA,92615-5443,United States,(714) 849-9548,,,,179534,,70000,3,0
The Laurence Korn M D Foundation,,2801 Townsgate Rd Ste 203,,Westlake Village,CA,91361-5832,United States,7148460222,,,,41440,50000,70000,3,0
Vision Alameda County,,315 Montgomery St Fl 10,,San Francisco,CA,94104-1823,United States,510-619-6958,,,http://VISION2026.ACGOV.ORG,4372575,237050,70000,3,0
Blaire and Benno Dorer Foundation FKA Second Mountain Foundation,,12 Nunes Dr,,Novato,CA,94945-1406,United States,925-299-1040,,,,3569872,90000,70000,2,0
Dennis John Heid Memorial Scholarship Foundation,,5942 Edinger Ave Ste 113,,Huntington Beach,CA,92649-1773,United States,714-720-4197,,,http://HEIDFOUNDATION.ORG,1821611,76749,70000,2,0
FORESIGHT INSTITUTE,"Sherry Hull, Assistant Treasurer",399 Webster St,,San Francisco,CA,94117-3511,United States,415-404-8303,6502890863,sherry@foresight.org,http://www.foresight.org,3079907,856909,70000,2,0
Institute for Nonprofit News,,PO Box 8606,,Calabasas,CA,91372-8606,United States,2137097126,,,http://inn.org,,,70000,2,0
James L Murdoch Charitable Trust,,1303 J St Ste 520,,Sacramento,CA,95814-2938,United States,916-441-3300,,,,1153742,15000,70000,2,0
Paige Bronchick Charitable Foundation,,1921 Power St,,Hermosa Beach,CA,90254-2915,United States,310-796-0132,,,http://WWW.PAIGEFOUNDATION.ORG,,102094,70000,2,0
The School for You Foundation,,5325 E Pacific Coast Hwy,,Long Beach,CA,90804-4441,United States,5625973285,,,,1229359,,70000,2,0
Bunker West Foundation,,PO Box 29312,,San Francisco,CA,94129-0312,United States,4153615456,,,,6892415,305000,70000,1,0
The Formanek Cianciolo Family Foundation,,PO Box 127,,Pacific Palisades,CA,90272-0127,United States,650-804-7100,,,,4939197,85000,70000,1,0
Future Step Foundation,,4757 Old Cliffs Rd,,San Diego,CA,92120-1134,United States,619-846-7990,,,,26541960,1218019,70000,1,0
US-Polish Trade Council,"Damian Cieslicki, Treasurer; Jerzy Orkiszewski, President; Piotr D Moncarz, Chairman; Stan Lewandowski, Secretary",2625 Middlefield Rd # 177,,Palo Alto,CA,94306-2516,United States,6504944661,,,http://WWW.USPTC.ORG,51860,,70000,1,0
Wilder Trust,,PO Box 426,,Walnut Creek,CA,94597-0426,United States,925-284-2582,,,,3870,,70000,1,0
Vine Life Ministries Inc,,PO Box 155,,Lincoln,CA,95648-0155,United States,916-645-0160,,,http://WWW.THESALTMINELINCOLN.COM,397217,,69993,3,0
Angel Society of Fallbrook,,PO Box 1408,,Fallbrook,CA,92088-1408,United States,760-728-6513,,,http://WWW.THEANGELSOCIETY.ORG,842645,269092,69800,8,0
The Floyd Robinson Foundation,,PO Box 152419,,San Diego,CA,92195-2419,United States,619-574-1040,,,,146314,15790,69780,26,0
Vincent J & Jane a Flynn Family Foundation,,1000 Rio Vista Ave,,Red Bluff,CA,96080-2054,United States,530-385-1475,,,,975854,30000,69775,8,0
Giles 2000 Trust DBA Giles Family Foundation,,305 Ortega Ridge Rd,,Santa Barbara,CA,93108-2219,United States,805-895-5606,,,,637738,59675,69600,31,0
Laguna Beach Festival of Arts Foundation,,650 Laguna Canyon Rd,,Laguna Beach,CA,92651-1837,United States,(949) 494-9680,,,,3254796,100400,69550,4,0
Cup of Water Inc Cup of Water Inc,,31249 Capistrano Ln,,Mentone,CA,92359-1540,United States,909-206-8552,,,,,25825,69525,10,0
The Strong Foundation,,4191 Coralee Ln,,Lafayette,CA,94549-3356,United States,925-284-8045,,grants@strongfoundationgrants.org,http://www.STRONGFOUNDATIONGRANTS.ORG,,152355,69500,28,0
Grace Family Vineyards Foundation,,1210 Rockland Dr,,St Helena,CA,94574-9704,United States,7079631410,,,,33614,116932,69500,7,0
Alliance for the Arts,,2100 E Thousand Oaks Blvd,,Thousand Oaks,CA,91362-2903,United States,805-449-2590,,,http://WWW.ALLIANCEFORTHEARTS.ORG,,58543,69500,4,0
Archer Family Foundation,,9701 Wilshire Blvd Ste 1106,,Beverly Hills,CA,90212-2011,United States,310-550-9911,,,,866334,197000,69363,7,0
Wesley Family Foundation,,2711 N Sepulveda Blvd # 1017,,Manhattan Beach,CA,90266-2725,United States,3233643004,,,,749041,31000,69275,13,0
The Menaged Foundation,,1740 Kearny St,,San Francisco,CA,94133-2444,United States,415-624-9695,,,,3515116,125000,69250,17,0
North Natomas Transportation Management Assn,,1918 Del Paso Rd Ste 100,,Sacramento,CA,95834-7712,United States,(916) 419-9955,,,http://NORTHNATOMASTMA.ORG,2921441,41176,69199,3,0
Alameda High School Athletic Supporters Inc,,PO Box 1166,,Alameda,CA,94501-0121,United States,510-337-7022,,,HTTPS://AHSATHLETICBOOSTERS.COM/,200729,53221,69194,2,0
Roberta Freeman Cox Charitable Foundation,,PO Box 9938,,Newport Beach,CA,92658-1938,United States,,,,,,218090,69000,15,0
The David & Janyce Hoyt Family Foundation,,55 Golden Meadow Ln,,Alamo,CA,94507-2712,United States,9258385459,,,,23195913,1020000,69000,5,0
Mondry-Cohen Family Foundation,,650 California St Fl 3,,San Francisco,CA,94108-2724,United States,415-981-8766,,,,,549238,69000,5,0
Paradise Scholarship Foundation,,PO Box 151,,Paradise,CA,95967-0151,United States,530-327-8645,,,http://PARADISESCHOLARSHIP.ORG,,58500,69000,1,0
San Francisco Association of Realtors Foundation,,301 Grove St,,San Francisco,CA,94102-4418,United States,415-431-8500,,,,382225,297379,68900,22,0
Hg Foundation,,1870 La Jolla Rancho Rd,,La Jolla,CA,92037-7849,United States,858-623-4210,,,http://WWW.HAUDENSCHILDGARAGE.COM,1111795,173212,68900,13,0
Barbara Korsch Ward Foundation,,330 Wilshire Blvd,,Santa Monica,CA,90401-1312,United States,310-395-3950,,,,1036040,50000,68781,2,0
Black Swan Charitable Foundation,,17759 Calle De Palermo,,Pacific Palisades,CA,90272-2008,United States,310-459-3428,,,,925614,66000,68675,17,0
National Charity League South Coast Chapter,,12340 Seal Beach Blvd Ste B/604,,Seal Beach,CA,90740-2792,United States,562-598-2404,,,,160568,64831,68631,3,0
Mp Zhang & Zhu Family Foundation,,2055 Lombardy Rd,,San Marino,CA,91108-1236,United States,626-318-8017,,,,,15000,68600,6,0
Spence Family Foundation,,190 Olive Branch Ct,,Benicia,CA,94510-2108,United States,707-746-7828,,,,,,68596,6,0
The Blue Divinity Foundation,,17203 Ventura Blvd Ste 1,,Encino,CA,91316-4053,United States,714-234-6094,,,,2475399,70000,68530,2,0
Partners in Education Enrichment Resourcing Foundation,"Lisa Anderson, Secretary; Ruth Stephens Radle, Treasurer; Stacey Johnston, President; Stacey Johnston, Executive Director",3003 Meadowlands Ln,,San Jose,CA,95135-1622,United States,669-247-7337,,info@eeef.org,http://www.peerfoundation.net,29280,24498,68503,4,0
Russ Family Foundation,,12424 Wilshire Blvd,,Los Angeles,CA,90025-1052,United States,310-271-7309,,,,505413,141850,68500,26,0
Tahdah Foundation,,2025 Pioneer Ct Fl 1,,San Mateo,CA,94403-1719,United States,415-694-0873,,,http://WWW.TAHDAHFOUNDATION.ORG,142220,67500,68500,9,0
Breast Cancer Emergency Fund,"Karen Edwards, Interim Executive Director",275 5th St # 402,,San Francisco,CA,94103-4117,United States,415-932-6020,415-932-6337,info@bcef.org,,17246,97181,68423,5,0
AIDS Emergency Fund,"Sergio Perez Esq, Cfo",785 Market St Fl 10,,San Francisco,CA,94103-2017,United States,415-558-6999,(415) 558-6990,michael.armentrout@aef-sf.org,http://AEF-SF.ORG,3108574,1329795,68406,2,0
Free and Accepted Masons Bellflower Lodge No 320,,9813 Beach St,,Bellflower,CA,90706-5917,United States,562-925-5623,,,http://WWW.BELLFLOWER32O.ORG,1784979,10000,68400,4,0
Whittier Lions Foundation,,PO Box 245,,Whittier,CA,90608-0245,United States,5626826040,,,http://WWW.WHITTIERLIONS.ORG,2153569,153265,68259,5,0
Northern California District Council of Laborers,,5672 Stoneridge Dr Ste 200,,Pleasanton,CA,94588-8607,United States,925-469-6800,,,,59931201,17584,68145,6,0
Buchanan Children's Charities Inc,,3501 Jamboree Rd Ste 4200,,Newport Beach,CA,92660-2958,United States,949-717-3162,,,http://WWW.BUCHANANSTREET.COM/OUR-FIRM/CHARITY,,161800,68100,6,0
The Kirk and Jolene Jackson Foundation,,7929 Arjons Dr,,San Diego,CA,92126-4301,United States,858-831-7900,,,,74554,295550,68076,1,0
Mina & Hacob Shirvanian Family Foundation Inc,,1547 Golf Club Dr,,Glendale,CA,91206-1352,United States,8189560423,,,,1758372,100650,68050,12,0
Monterey International Pop Festival Inc,,Co Grf 1880 Century Park E 1600,,LOS ANGELES,CA,90067,United States,310-553-1707,,,,293072,46728,68028,12,0
Dat Gtb Charitable Trust,,PO Box 5025,,Woodland Hills,CA,91365-5025,United States,310-275-2699,,,,2093041,169000,68000,11,0
Jocelyn Gibbons & Mary Scott Marks Charitable Tr 022288,,16133 Ventura Blvd,,Encino,CA,91436-2403,United States,818-703-7700,,,,578985,16000,68000,10,0
Sacramento Association of Realtors Charitable Foundation Inc,,2003 Howe Ave,,Sacramento,CA,95825-0183,United States,916-922-7711,,,http://WWW.SARCHARITABLEFOUNDATION.ORG,137411,106523,68000,9,0
The Woods Family Private Foundation,,1665 Placentia Ave,,Costa Mesa,CA,92627-4311,United States,949-646-1164,,,,127857,65000,68000,8,0
Memorial Health Services,,17360 Brookhurst St,,Fountain Valley,CA,92708-3720,United States,714-377-3002,,,http://WWW.MEMORIALCARE.ORG,3169297807,115000,68000,6,0
Richard and Elizabeth Fullerton Family Foundation,,3047 Fillmore St,,San Francisco,CA,94123-4009,United States,415-530-3423,,,,,18283999,67999,1,0
Stephen Lesser Fund,,10756 Massachusetts Ave Apt,,Los Angeles,CA,90024-5776,United States,310-446-5890,,,,,50683,67922,6,0
PTA California Congress of Parents Teach Del Mar Heights PTA,,13555 Boquita Dr,,Del Mar,CA,92014-3453,United States,858-793-2466,,,,145069,5075,67775,5,0
The Dawn Redwoods Charitable Trust,,1 Blackfield Dr # 331,,Belvedere Tiburon,CA,94920-2053,United States,415-308-9216,,,http://WWW.DAWNREDWOODSTRUST.ORG,3638355,619752,67750,3,0
Alzheimer's Alliance of America,,3780 Wilshire Blvd Ste 250,,Los Angeles,CA,90010-2833,United States,213-389-3472,,,,328450,44471,67624,2,0
Kirkeby Foundation,,11601 Wilshire Blvd Ste 1960,,Los Angeles,CA,90025-1755,United States,310-858-2200,,,,1380497,58800,67581,47,0
The Geweke Foundation,,PO Box 1420,,Lodi,CA,95241-1420,United States,209-371-2418,,,,3315157,200,29200,6,0
Henry and Shirley Lee Foundation,,2130 Ronda Granada Unit D,,Laguna Woods,CA,92637-2471,United States,9495329147,,,,,28873,29200,6,0
Drs Vanamala and Ratanlal Agarwal Educational Trust,,40313 25th St W,,Palmdale,CA,93551-3301,United States,6619408777,,,,484745,39500,29151,10,0
Linda I Ridenour Foundation,,325 E Sierra Ave Ste 101,,Fresno,CA,93710-3737,United States,5594400700,,,,,,29140,4,0
Heat and Frost Insulators and Allied Workers Local Union No 16,,3801 Park Rd,,Benicia,CA,94510-1106,United States,707-748-1616,,,,9739340,160604,29100,4,0
Chris William Caras Foundation,,Dld Acct 4250 Wilshire Blvd,,LOS ANGELES,CA,90010,United States,323-937-2010,,,,,,29074,3,0
Joe Atsushi and Sue Shigeko Naritoku Charitable Foundation,,4550 Kearny Villa Rd Ste 212,,San Diego,CA,92123-1565,United States,858-268-8701,,,,359232,20000,29059,12,0
Agriland Foundation,,6067 N Sequoia Dr,,Fresno,CA,93711-1256,United States,559-439-6067,,,,,20500,29013,12,0
Zamichow Jabs Foundation,,4086 Cuervo Ave,,Santa Barbara,CA,93110-2412,United States,805-845-9774,,,,1159633,39595,29000,23,0
Singh Family Foundation,,16303 Ravine Rd,,Los Gatos,CA,95030-3043,United States,408-395-2759,,,,51484,51275,29000,12,0
Krach Family Foundation,,PO Box 10195,,Palo Alto,CA,94303-0995,United States,(650) 210-5000,,,,6525,,29000,5,0
Better U,,11812 San Vicente Blvd Fl 4,,Los Angeles,CA,90049-6625,United States,310-914-1600,,comments@betterufoundation.org,,253083,,29000,3,0
Laborers' Local union 261,,3271 18th St,,San Francisco,CA,94110-1920,United States,4158264550,,,,18701121,98967,29000,3,0
Journey for New Hope,,12665 Garden Grove Blvd Ste 503,,Garden Grove,CA,92843-1919,United States,714-530-3740,,,,222508,80000,29000,2,0
San Francisco Housing Development Corporation,"Chris Hansen, Fund Development And Communications Officer; David Sobel, Executive Director",4439 3rd St,,San Francisco,CA,94124-2103,United States,415-822-1022,415-822-1077,david@sfhdc.org,http://WWW.SFHDC.ORG,43550099,10000,29000,1,0
James L White Foundation Inc,,Dld Acct 4250 Wilshire Blvd,,LOS ANGELES,CA,90010,United States,323-937-2010,,,,,,28900,2,0
San Diego Sports Medicine Foundation,"David Chao, President/ Founder; David J Chao, President; James Chao, Vice President; Kara Finkenberg, Event Director; Robert Blonde, Treasurer; Scott Rogow, Secretary",8901 Activity Rd,,San Diego,CA,92126-4432,United States,619-993-9296,(858) 571-1933,info@sdsmf.com,http://SDSMF.COM,1124207,5240,28800,6,0
Moone Family Foundation,,78663 Peerless Pl,,La Quinta,CA,92253-7313,United States,415-421-5757,,,,479898,14100,28781,9,0
Community College Association,,1705 Murchison Dr,,Burlingame,CA,94010-4504,United States,650-697-1400,,,http://cca4me.org,4508065,184429,28767,3,0
Asher Student Foundation,,345 W Portal Ave Ste 120,,San Francisco,CA,94127-1429,United States,415-242-1500,415-242-5100,smitchell@asherstudentfoundation.org,http://WWW.ASHERSTUDENTFOUNDATION.ORG,64485857,536857,28750,6,0
Chi-Kwang Huo Education Foundation,,100 McLellan Ave,,San Mateo,CA,94403-2828,United States,,,,http://www.ckhuofound.org,,13750,28652,3,0
Michael J Kirsch Foundation,,735 Pomeroy Ave,,Santa Clara,CA,95051-5518,United States,408-464-3575,,m.j.k.foundation@comcast.net,,254940,10500,28650,23,0
The Doss Foundation,,1828 E Cesar E Chavez Ave Ste 6500,,Los Angeles,CA,90033-2585,United States,323-263-6774,,,,3738896,174090,28629,2,0
Souza Charitable Foundation,,672 W 11th St Ste 110,,Tracy,CA,95376-3821,United States,209-835-8330,,,,,7500,28605,14,0
Abako Foundation,,7040 Avenida Encinas 104 Ste Ste 12,,Carlsbad,CA,92011,United States,619-693-6561,,,http://www.abakofoundation.org,660753,63430,28600,6,0
Persimmon Foundation,,121 Steuart St,,San Francisco,CA,94105-1236,United States,415-777-0411,,,,3837003,871337,28600,1,0
Znc Compassion Foundation,,17360 Colima Rd # 324,,Rowland Heights,CA,91748-1628,United States,,,,,145494,81770,28575,2,0
Beth and Wilbur Woo Family Foundation,,4329 Bel Aire Dr,,La Canada Flintridge,CA,91011-3308,United States,818-516-9376,,,,245726,,28540,20,0
Indnjc Inc,,10 Rockridge Rd,,Hillsborough,CA,94010-6928,United States,650-347-9288,,,,,28517,28517,1,0
Cougar Parent Committee,,6715 Gloria Dr,,Sacramento,CA,95831-2008,United States,916-392-2317,,,,15174,19805,28510,5,0
J & M Lam Family Foundation,,20 Buena Vista Rd,,South San Francisco,CA,94080-5575,United States,650-239-5388,,,,792248,,28500,14,0
The Martin and Florence D Hafter Family Foundation,,2522 Washington Ave,,Santa Monica,CA,90403-2130,United States,310-828-7917,,,,,5140596,28500,11,0
Jevan Dhara Foundation,,17011 Industry Pl,,La Mirada,CA,90638-5819,United States,714-334-5463,,,http://WWW.MR.H.K.BHUTANI,4685066,18307,28500,7,0
Sharanam Foundation,,445 Summit Rd,,Watsonville,CA,95076-9781,United States,831-902-9897,,,,914738,52000,28500,6,0
